id,date,winner,loser,elo_winner,elo_loser,first_hand,conceded,record
655314007,2025-04-07 22:24:00,chickenheart0809,reika2001,157,126,chickenheart0809,False,r2y4r1y3r2y3r1y2r1y5r1y5r1y3r1y3r4y5r1y3r2y3r5y3r5y1r5y1r5y1r5y2r3y1r4y2r2y2r2y1r2y2r2y2r4y2r1y2r4y2r4y2r1y4r2y1r2y1r1y4r2y4r4y2r4y2r4y5r4y5r4y4r4y4r4y5r3y5r2y5r2y4r5y4r2y4r1y5r3y4r3y4r3y4r3
651884826,2025-04-07 19:18:00,mad rid,izZziCOS,798,1,izZziCOS,False,y1r1y2r1y3r1y1r1y3r1y3r5y5r5y5r5y4r1y4r1y4r4y3r5y3r5y4r5y2r4y2r4y4r2y2r2y2r4y3r2y5r4y5r5y5r2y5r5y5r2y5r2y2r4y2r4y1r4y1r2y4r5y4r1y4r1y1r5y1r5
655256642,2025-04-07 19:06:00,mino24,BeaM59,193,72,BeaM59,False,r5y4r5y4r5y4r4y5r5y3r3y3r3y4r5y4r5y4r5y4r4y4r3y2r3y2r3y2r4y4r5y2r2y3r4y2r2y2r2y5r4y5r2y5r2y5r2y5r2y5r2y5r2y5r1y1r1y2r1y2r1y1r4y3r1y3r4y3r1y4r4y3r4y3r4y4
653819533,2025-04-07 17:26:00,MagoselvaggioHO,Alena2588,435,1,MagoselvaggioHO,False,r5y5r5y5r5y1r5y4r1y3r1y4r1y4r4y4r4y4r1y4r1y4r2y3r4y3r2y3r4y1r4y4r2y2r4y3r4y1r4y2r4y3r4y3r5y5r5y1r5y5r5y5r1y4r2y1r4y1r5y1r5y5r5y5r3y2r3y5r3y1r3y1r3y5r3y5r3y5r5y1r1y1r5y4r5
655228842,2025-04-07 17:23:00,a_trex,Arony Pony,128,74,a_trex,False,r1y4r1y4r1y3r2y5r4y4r3y4r4y1r2y3r3y4r3y4r3y4r3y3r2y3r2y3r4y3r4y4r3y3r3y1r2y5r3y4r3y4r4y1r4y3r1y1r5y1r3y1r4y3r4y1r3y1r5y2r1y1r4y1r5y1r5y1r5y1r1y2r1y5r2y2r5y2r2y2r2y1r1y1r5y2r2y2r2
642227301,2025-04-07 04:22:00,Celedrah,Sigerregis,146,1,Sigerregis,False,y4r4y5r2y5r3y3r3y4r3y1r1y1r1y2r2y3r1y3r5y5r1y4r5y3r5y4r3y4r5y2r1y1r1y3r1y3r2y2r2y2r2y3r2y2r3y1r4y1r3y1r2y2r4y3r4y3r4y1r4y1r4y2r4y4r2y2r4y2r4y2r5y2r5y5r2y4r2y2r2y2r2y5r2y5r2
655004847,2025-04-07 04:14:00,Vergilll,yanosiia,190,108,yanosiia,False,y5r5y5r5y5r5y5r5y5r5y5r5y5r1y5r3y1r2y1r2y3r2y2r3y2r3y1r2y2r2y2r2y2r2y2r2y3r4y3r4y3r4y1r3y1r4y3r4y3r4y1r4y2r3y1r4y1r4y1r4y1r4y2r4y2r4y3r4y4r5y4r5y4r4y4r4y4r4
655005135,2025-04-07 04:07:00,yanosiia,Vergilll,126,173,yanosiia,False,y5r3y5r3y5r3y5r4y1r4y5r4y1r4y5r4y4r4y2r4y2r4y2r2y3r1y4r1y4r1y4r3y3r3y3r1y4r1y4r1y3r3y4r1y5r1y4r2y3r2y3r2y2r2y5r5y1r5y1r5y1r5y1r5y1r5y5
655001602,2025-04-07 04:01:00,Vergilll,yanosiia,198,100,Vergilll,False,r2y3r5y3r4y3r4y5r5y5r5y3r5y2r4y2r4y3r2y2r2y2r2y4r1y1r5y1r1y1r1y1r1y5r1y5r1y5r2y5r2y1r2y2r2y2r4y2r3y3r4y1r3y1r5y1r5y1r5y1r5y1r4y1r4y3r4y2r4y2r3y2r4y2r1y5r1y2r5y2r5
654953352,2025-04-07 01:56:00,Le Val,RemusRemus,131,199,Le Val,False,r4y2r4y2r2y3r2y2r2y2r2y3r2y2r2y2r2y2r2y2r2y3r4y4r4y4r3y2r3y2r5y5r5y5r5y5r5y5r4y5r4y5r4y5r4y5r5y1r5y1r5y4r5y4r3y4r3y3r3y3r3y3r3
647861272,2025-04-06 19:58:00,SloubiWolf,Pevekas,122,1,Pevekas,False,y4r5y4r3y1r5y1r5y3r2y5r5y5r5y5r4y5r4y5r3y5r3y4r3y4r3y5r2y2r2y2r3y4r4y2r2y3r4y4r2y2r2y2r2y3r2y4r4y3r4y2r4y2r4y2r4y3r4y3r1y3r1y3r1y4r4y1r1y1r1y1r1y1r1y4r1
643867934,2025-04-06 16:47:00,GRRomain,alethvero,370,100,alethvero,False,r2y3r4y3r4y4r4y4r4y5r4y4r4y4r4y4r4y4r4y1r2y1r2y3r3y2r3y4r3y2r3y5r2y5r2y2r2y4r2y2r2y2r3y5r3y2r3y3r3y5r3y5r3y2r1y3r1y2r1y3r1y4r1y5r1y5
654664819,2025-04-06 10:32:00,Maga Abraxas,perpiente,153,72,perpiente,False,y3r2y5r2y5r2y4r3y3r3y5r3y5r4y3r4y5r3y5r3y3r4y3r3y3r5y3r5y1r5y1r5y2r5y2r5y2r4y2r4y5r4y5r4y5r4y5r1y5r1y2r1y4r2y4r2y4r2y2r2y4r2y4r2y4r1y2r1y2r5y1r5y1r5
654663677,2025-04-06 10:26:00,Maga Abraxas,perpiente,146,72,Maga Abraxas,False,r5y5r5y5r5y5r5y5r5y5r5y5r5y5r5y5r4y3r4y3r3y3r3y1r3y1r3y2r3y2r2y1r3y1r4y4r4y1r4y3r4y3r2y3r2y4r4y1r4y4r4y4r4y4r4y4r2y4r2y4r2y4r2y2r2y1r1y1r2y2r2y1r2
654660046,2025-04-06 10:19:00,Maga Abraxas,perpiente,138,72,perpiente,False,r3y1r3y1r3y3r2y3r2y3r4y3r4y3r4y3r4y4r1y4r2y5r2y5r2y1r5y1r2y1r2y1r2y1r3y1r3y4r3y4r4y3r4y4r5y3r1y3r5y2r1y2r1y2r1y2r1y2r1y2r1y2r4y4r4y2r4y4r4y4r4y2
649726571,2025-04-06 05:51:00,biggancho,fubeca23,138,181,biggancho,False,y4r3y3r3y1r3y3r4y3r2y5r4y5r2y3r1y5r3y4r3y1r2y4r2y3r2y4r2y4r2y4r2y3r3y1r5y1r5y3r5y5r5y5r4y3r4y4r5y5r4y5r4y5r4y3r5y1r5y1r5y1r4y1r4y1r4y4
